,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
6729,INST.COMERCIAL DEL PACIFICO,1,1,VALLE,1.0,2.235294117647059,3.4705882352941178,0.8823529411764706,0.9411764705882353,5.823529411764706,10.235294117647058,40.588235294117645,0.8823529411764706,0.6470588235294118,0.6470588235294118,288.7647058823529
6730,INST.EDUC. LA ESPERANZA,0,1,CORDOBA,0.0,1.5806451612903225,4.935483870967742,0.22580645161290322,0.25806451612903225,4.161290322580645,7.548387096774194,26.129032258064516,0.41935483870967744,0.2903225806451613,0.6451612903225806,230.74193548387098
6731,INST.EDUC. SAN JOSE DE CARRIZAL,0,0,CORDOBA,0.0,1.7,4.5,0.35,0.3,5.925,7.2,27.875,0.1,0.325,0.775,242.0
6732,INST.EDUC.ALFONSO BUILES CORREA,0,1,CORDOBA,0.010309278350515464,1.5876288659793814,4.422680412371134,0.422680412371134,0.4536082474226804,5.164948453608248,7.979381443298969,19.84536082474227,0.3917525773195876,0.28865979381443296,0.7422680412371134,235.08247422680412
6733,INST.EDUC.ALIANZA P. EL PROGRESO,0,1,CORDOBA,0.0,1.7567567567567568,4.891891891891892,0.16216216216216217,0.40540540540540543,5.27027027027027,6.486486486486487,24.594594594594593,0.2972972972972973,0.35135135135135137,0.7027027027027027,223.9189189189189
6734,INST.EDUC.ANTONIO RICAURTE,0,0,CORDOBA,0.0,1.6153846153846154,5.230769230769231,0.23076923076923078,0.2692307692307692,4.269230769230769,5.769230769230769,14.615384615384615,0.19230769230769232,0.2692307692307692,0.7692307692307693,212.96153846153845
6735,INST.EDUC.NTRA SRA DEL PERPETUO SOCORRO,0,1,CORDOBA,0.0,1.4495412844036697,4.10091743119266,0.3669724770642202,0.43119266055045874,5.394495412844036,5.532110091743119,22.110091743119266,0.23853211009174313,0.3394495412844037,0.8532110091743119,216.30275229357798
6736,INST.EDUC.NTRA SRA LA CANDELARIA,0,1,CORDOBA,0.008333333333333333,1.6083333333333334,4.116666666666666,0.65,0.7583333333333333,5.45,9.4,31.0,0.7583333333333333,0.55,0.6916666666666667,249.13333333333333
6737,INST.EDUC.SERGIO MARTINEZ,0,0,CORDOBA,0.0,1.6153846153846154,5.0,0.2692307692307692,0.3076923076923077,3.923076923076923,6.115384615384615,20.96153846153846,0.19230769230769232,0.2692307692307692,0.5384615384615384,223.65384615384616
6738,INST.SIST.DE EDUCACION EMPRESARIAL COLEGIO ISEE,1,1,VALLE,0.0,2.5,3.1666666666666665,0.5833333333333334,0.5,3.75,9.25,20.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,224.33333333333334
6739,INSTITUCIION EDUCATIVA DISTRITAL AGROINDUSTRIAL DE MINCA,0,0,MAGDALENA,0.0,2.4545454545454546,4.636363636363637,0.2727272727272727,0.18181818181818182,5.181818181818182,9.272727272727273,16.363636363636363,0.36363636363636365,0.5454545454545454,0.7272727272727273,232.72727272727272
6740,INSTITUCIO EDUCATIVA DEPARTAMENTAL  RICARDO GONZALEZ,0,1,CUNDINAMARCA,0.0,2.1717171717171717,4.03030303030303,0.18181818181818182,0.30303030303030304,5.090909090909091,8.909090909090908,34.494949494949495,0.6767676767676768,0.6262626262626263,0.5959595959595959,259.3838383838384
6741,INSTITUCIO EDUCATIVA DEPARTAMENTAL SANTA GEMMA DE GALGANI,0,1,CUNDINAMARCA,0.0,1.5681818181818181,3.3181818181818183,0.20454545454545456,0.3181818181818182,4.5,7.431818181818182,22.613636363636363,0.4318181818181818,0.4090909090909091,0.4318181818181818,253.4090909090909
6742,INSTITUCIO EDUCATIVA JUAN DE LA SALLE,1,1,CUNDINAMARCA,0.0,2.0,4.2631578947368425,0.10526315789473684,0.10526315789473684,2.6842105263157894,6.0,23.157894736842106,0.21052631578947367,0.47368421052631576,0.2631578947368421,212.42105263157896
6743,INSTITUCION  AGROPECUARIA COMUNIDAD  INDIGENA  INKAI -AWA,0,0,NARIÑO,1.0,1.6,4.4,0.0,0.0,5.7,4.2,24.5,0.3,0.3,0.3,154.7
6744,INSTITUCION  EDUC LAURELES,0,0,TOLIMA,0.0,1.3333333333333333,3.0,0.6666666666666666,0.3333333333333333,3.0,6.0,15.0,0.0,0.3333333333333333,0.3333333333333333,232.33333333333334
6745,INSTITUCION  EDUCATIVA  LAS MESAS  INSEM,0,0,NARIÑO,0.0,1.2954545454545454,3.727272727272727,0.3181818181818182,0.36363636363636365,4.7727272727272725,6.4772727272727275,24.65909090909091,0.3409090909090909,0.20454545454545456,0.6590909090909091,271.3863636363636
6746,INSTITUCION  EDUCATIVA AGUAS NEGRAS,0,0,CORDOBA,0.0,1.2820512820512822,4.333333333333333,0.3076923076923077,0.3333333333333333,4.923076923076923,9.692307692307692,28.846153846153847,0.41025641025641024,0.46153846153846156,0.6410256410256411,253.71794871794873
6747,INSTITUCION  EDUCATIVA DPTAL INTEGRADA ALFONSO LOPEZ PUMAREJO,0,1,CUNDINAMARCA,0.01020408163265306,1.9591836734693877,4.040816326530612,0.22448979591836735,0.336734693877551,4.163265306122449,7.775510204081633,28.6734693877551,0.5510204081632653,0.6836734693877551,0.5510204081632653,241.62244897959184
6748,INSTITUCION  EDUCATIVA EL CERRITO,0,0,CORDOBA,0.0,1.4705882352941178,5.235294117647059,0.4117647058823529,0.5294117647058824,5.823529411764706,8.117647058823529,23.823529411764707,0.4117647058823529,0.23529411764705882,0.8235294117647058,224.35294117647058
6749,INSTITUCION  EDUCATIVA EL HORMIGUERO,0,0,NARIÑO,1.0,2.111111111111111,5.666666666666667,0.1111111111111111,0.3333333333333333,7.0,10.333333333333334,25.0,0.1111111111111111,0.5555555555555556,0.4444444444444444,166.66666666666666
6750,INSTITUCION  EDUCATIVA NORMAL SUPERIOR SAGRADO CORAZON DE JESUS,0,1,NARIÑO,0.0,1.2244897959183674,4.142857142857143,0.10204081632653061,0.16326530612244897,5.204081632653061,6.244897959183674,21.93877551020408,0.3877551020408163,0.22448979591836735,0.5306122448979592,250.08163265306123
6751,INSTITUCION  EDUCATIVA ROSAFLORIDA,0,0,NARIÑO,0.0,1.5357142857142858,4.428571428571429,0.17857142857142858,0.07142857142857142,5.571428571428571,7.607142857142857,19.285714285714285,0.35714285714285715,0.32142857142857145,0.6428571428571429,245.82142857142858
6752,INSTITUCION  EDUCATIVA RURAL DEPARTAMENTAL ANATOLI,0,0,CUNDINAMARCA,0.0,1.6666666666666667,4.333333333333333,0.3333333333333333,0.4,3.6,5.0,23.0,0.4,0.7333333333333333,0.26666666666666666,248.13333333333333
6753,INSTITUCION  EDUCATIVA SAN JOSE,0,1,CORDOBA,0.02666666666666667,1.6266666666666667,4.2,0.5733333333333334,0.72,6.56,10.04,29.666666666666668,0.76,0.5066666666666667,0.6266666666666667,290.6666666666667
6754,INSTITUCION  EDUCATIVA TAJAMAR,0,1,ATLANTICO,0.0,1.4933333333333334,4.28,0.6266666666666667,0.6133333333333333,6.24,10.56,26.533333333333335,0.72,0.6133333333333333,0.8,258.2133333333333
6755,INSTITUCION  ETNOEDUCATIVO RURAL DE  MARACARI,0,0,LA GUAJIRA,1.0,1.75,6.0,0.5,0.25,2.25,2.25,40.0,1.0,0.25,0.0,168.0
6756,INSTITUCION  ETNOEDUCATIVO RURAL LA PAZ,0,0,LA GUAJIRA,1.0,1.0,7.0,0.0,0.0,4.0,3.0,15.0,0.0,0.0,0.6666666666666666,192.66666666666666
6757,INSTITUCION ANDINA DE EDUCACION,1,1,META,0.0,2.0555555555555554,3.2222222222222223,0.2777777777777778,0.6111111111111112,5.166666666666667,9.333333333333334,46.666666666666664,0.9444444444444444,0.9444444444444444,0.3888888888888889,229.05555555555554
6758,INSTITUCION CETEL,1,1,META,0.0,1.8461538461538463,3.6153846153846154,0.23076923076923078,0.38461538461538464,3.6923076923076925,9.0,15.384615384615385,0.3076923076923077,0.46153846153846156,0.07692307692307693,200.0
6759,INSTITUCION ED. DEPTAL CARLOS ABONDANO GONZALEZ,0,1,CUNDINAMARCA,0.0,2.36734693877551,4.142857142857143,0.32653061224489793,0.4897959183673469,5.081632653061225,9.306122448979592,36.63265306122449,0.6938775510204082,0.6938775510204082,0.46938775510204084,264.3673469387755
