,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,Educacion_padres,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
0,ACAD AMERICANA DE SISTEMAS Y COMERCIO,1,1,BOGOTÁ,0.0,1.8,3.2,30.0,3.6,5.4,30.5,70.0,50.0,90.0,208.3
1,ACAD CENTRAL DE SISTEMAS ACSI,1,1,BOGOTÁ,0.0,2.8,3.2,60.0,5.1,9.9,47.0,100.0,90.0,60.0,231.1
2,ACAD PANTANO DE VARGAS,1,1,CUNDINAMARCA,0.0,3.2580645161290325,3.838709677419355,93.54838709677419,4.451612903225806,10.935483870967742,45.32258064516129,96.7741935483871,93.54838709677419,22.58064516129032,267.16129032258067
3,ACADEMIA ACADEMIA SAM,1,1,VALLE,0.0,2.375,4.5,62.5,2.625,9.375,35.0,100.0,62.5,37.5,234.125
4,ACADEMIA CIAL DE LOS ANDES,1,1,NORTE SANTANDER,0.0,2.2465753424657535,4.123287671232877,93.15068493150685,5.301369863013699,12.493150684931507,30.89041095890411,93.15068493150685,75.34246575342466,26.027397260273972,254.83561643835617
5,ACADEMIA COLOMBIANA DE ENSEÑANZA,1,1,VALLE,0.0,2.0526315789473686,3.912280701754386,59.64912280701754,3.8421052631578947,9.157894736842104,22.54385964912281,78.94736842105263,52.63157894736842,50.877192982456144,217.6140350877193
6,ACADEMIA CORPETROL,1,1,HUILA,0.0,2.0,3.4,30.0,2.1,4.8,25.0,50.0,40.0,80.0,218.2
7,ACADEMIA DE CIENCIAS DE COLOMBIA AKADEMOS,1,1,VALLE,0.0,3.4,4.466666666666667,86.66666666666667,3.8,14.0,43.666666666666664,93.33333333333333,100.0,40.0,239.0
8,ACADEMIA E INSTITUTO CAMPAÑA LIBERTADORA,1,1,META,0.0,2.5,5.666666666666667,50.0,6.5,13.0,50.0,100.0,100.0,16.666666666666664,272.0
9,ACADEMIA GENERAL CARLOS JULIO GIL COLORADO,1,1,VALLE,0.0,2.4444444444444446,4.0,77.77777777777779,3.8333333333333335,8.0,26.666666666666668,72.22222222222221,61.111111111111114,33.33333333333333,266.72222222222223
10,ACADEMIA GUSTAVO ROJAS PINILLAS,1,1,CORDOBA,4.545454545454546,2.3181818181818183,3.5454545454545454,90.9090909090909,4.909090909090909,13.636363636363637,29.318181818181817,95.45454545454545,63.63636363636363,22.727272727272727,257.72727272727275
11,ACADEMIA INTERNACIONAL DE ESTUDIOS TECNICOS AIES,1,1,MAGDALENA,0.0,3.0,3.0,0.0,18.0,18.0,10.0,100.0,100.0,100.0,230.0
12,ACADEMIA MILITAR GENERAL CUSTODIO GARCIA ROVIRA,1,1,CALDAS,0.0,3.2666666666666666,3.533333333333333,93.33333333333333,5.4,13.0,44.0,93.33333333333333,100.0,20.0,276.0
13,ACADEMIA MILITAR GENERAL JOSE ANTONIO ANZOATEGUI,1,1,HUILA,0.0,2.638888888888889,3.5,94.44444444444444,4.0,8.166666666666666,33.47222222222222,100.0,75.0,27.77777777777778,254.0
14,ACADEMIA MILITAR GRAL TOMAS CIPRIANO DE MOSQUERA,1,1,CAUCA,7.142857142857142,2.357142857142857,4.0,92.85714285714286,8.571428571428571,10.285714285714286,48.92857142857143,100.0,78.57142857142857,0.0,301.42857142857144
15,ACADEMIA MILITAR GUSTAVO MATAMOROS D COSTA,1,1,CAUCA,0.0,2.3157894736842106,3.526315789473684,89.47368421052632,3.6315789473684212,10.105263157894736,22.894736842105264,94.73684210526315,73.68421052631578,10.526315789473683,260.5263157894737
16,ACADEMIA MILITAR JOSE ANTONIO PAEZ,1,1,CASANARE,0.0,2.625,3.0,87.5,3.0,8.625,35.0,87.5,75.0,12.5,292.25
17,ACADEMIA MILITAR JOSE ANTONIO PAEZ,1,1,META,0.0,2.5555555555555554,3.4444444444444446,88.88888888888889,6.0,13.666666666666666,51.111111111111114,100.0,77.77777777777779,66.66666666666666,259.55555555555554
18,ACADEMIA MILITAR MARISCAL SUCRE,1,0,BOGOTÁ,0.0,3.02,3.72,94.0,3.48,11.28,44.8,98.0,82.0,30.0,274.0
19,ACADEMIA POLITECNICA INTERACTIVA,1,1,ANTIOQUIA,0.0,2.5384615384615383,3.3076923076923075,65.38461538461539,2.8846153846153846,9.23076923076923,23.846153846153847,80.76923076923077,61.53846153846154,34.61538461538461,213.69230769230768
20,ACADEMICO,0,1,VALLE,0.0,2.2416107382550337,3.3624161073825505,55.033557046979865,4.590604026845638,10.53020134228188,21.97986577181208,78.52348993288591,59.73154362416108,34.22818791946309,234.2751677852349
21,ADVENTISTA DE QUIBDO BOLIVAR ESCANDON,1,1,CHOCO,86.66666666666667,2.2,4.466666666666667,80.0,6.2,8.8,43.333333333333336,60.0,53.333333333333336,13.333333333333334,245.46666666666667
22,AGRICOLA DE TOMARRAZON,0,0,LA GUAJIRA,96.55172413793103,2.1379310344827585,5.620689655172414,72.41379310344827,5.068965517241379,6.517241379310345,26.03448275862069,37.93103448275862,41.37931034482759,48.275862068965516,197.17241379310346
23,AGROECOLOGICO AMAZONICO BUINAIMA,0,1,CAQUETA,0.0,1.25,4.35,25.0,4.575,6.0,15.0,15.0,22.5,50.0,234.075
24,AGUSTIN CODAZZI,0,1,HUILA,0.0,1.5918367346938775,4.1020408163265305,59.183673469387756,4.224489795918367,7.591836734693878,25.306122448979593,71.42857142857143,59.183673469387756,59.183673469387756,257.6326530612245
25,AIPECITO,0,0,HUILA,0.0,1.9565217391304348,4.478260869565218,17.391304347826086,3.5217391304347827,4.304347826086956,23.695652173913043,43.47826086956522,30.434782608695656,56.52173913043478,212.56521739130434
26,ALEJANDRO DE HUMBOLDT,0,1,CAUCA,12.857142857142856,1.7571428571428571,4.171428571428572,55.714285714285715,5.828571428571428,7.285714285714286,29.0,64.28571428571429,44.285714285714285,47.14285714285714,265.1
27,ALFEREZ REAL,0,1,CAUCA,0.0,1.5,4.666666666666667,16.666666666666664,6.0,4.5,10.0,33.33333333333333,50.0,50.0,232.33333333333334
28,ALFREDO VASQUEZ COBO,0,0,VALLE,100.0,1.0,7.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,266.0
29,ALMIRANTE PADILLA,0,1,LA GUAJIRA,29.365079365079367,1.8095238095238095,4.761904761904762,69.04761904761905,5.571428571428571,8.071428571428571,20.753968253968253,61.111111111111114,42.857142857142854,35.714285714285715,230.71428571428572
30,ALTO YUMA,1,1,HUILA,0.0,1.2857142857142858,3.857142857142857,35.714285714285715,5.357142857142857,6.214285714285714,15.357142857142858,50.0,64.28571428571429,71.42857142857143,231.71428571428572
31,AMAZONICO MARCO AURELIO CHARRY,1,1,CAQUETA,0.0,1.5,3.0,50.0,3.0,7.5,27.5,50.0,25.0,50.0,206.0
32,AMERICAN SCHOOL SAINT FRANCES,1,1,BOYACA,0.0,4.083333333333333,3.1666666666666665,100.0,5.0,11.25,66.66666666666667,100.0,91.66666666666666,0.0,335.5833333333333
33,ANTONIO GARCIA PAREDES,0,1,CAUCA,3.9215686274509802,1.3725490196078431,4.215686274509804,43.13725490196079,6.529411764705882,5.9411764705882355,22.84313725490196,49.01960784313725,43.13725490196079,35.294117647058826,256.29411764705884
34,ANTONIO HOLGUIN GARCES,0,1,VALLE,0.0,1.9891304347826086,3.739130434782609,57.608695652173914,4.793478260869565,10.33695652173913,24.402173913043477,77.17391304347827,51.08695652173913,52.17391304347826,231.1304347826087
35,ANTONIO JOSE DE SUCRE,0,0,VALLE,100.0,2.142857142857143,4.142857142857143,42.857142857142854,5.142857142857143,7.285714285714286,30.0,57.14285714285714,57.14285714285714,14.285714285714285,190.0
36,ANTONIO NARINO,0,1,QUINDIO,0.0,1.75,4.2,52.5,3.675,10.575,23.5,70.0,62.5,30.0,221.125
37,ANTONIO NARI¿O,0,1,QUINDIO,0.0,1.8048780487804879,3.5853658536585367,63.41463414634146,4.609756097560975,9.146341463414634,18.658536585365855,70.73170731707317,56.09756097560976,24.390243902439025,250.21951219512195
38,ANTONIO NARIÑO,0,1,VALLE,100.0,1.2592592592592593,5.074074074074074,62.96296296296296,5.555555555555555,9.11111111111111,18.51851851851852,55.55555555555556,22.22222222222222,25.925925925925924,216.59259259259258
39,ANTONIO RICAURTE,0,1,CAQUETA,0.0,1.7204301075268817,3.967741935483871,41.935483870967744,4.161290322580645,8.161290322580646,24.301075268817204,59.13978494623656,43.01075268817204,38.70967741935484,222.8494623655914
40,ASPAEN GIMNASIO LA FRAGUA,1,1,HUILA,0.0,4.36,3.16,100.0,5.88,11.64,53.0,100.0,92.0,4.0,350.24
41,ASPAEN GIMNASIO SAUCARA,1,0,SANTANDER,0.0,5.0,2.6666666666666665,100.0,5.75,11.75,55.833333333333336,100.0,100.0,0.0,363.5
42,ASPAEN GIMNASIO YUMANA,1,1,HUILA,0.0,4.0588235294117645,3.3529411764705883,100.0,8.117647058823529,11.294117647058824,57.94117647058823,100.0,94.11764705882352,5.88235294117647,358.2352941176471
43,ATANASIO GIRARDOT,0,0,VALLE,91.42857142857143,1.457142857142857,4.771428571428571,51.42857142857142,5.914285714285715,8.742857142857142,28.857142857142858,34.285714285714285,28.57142857142857,25.71428571428571,224.65714285714284
44,ATANASIO GIRARDOT,0,1,HUILA,0.5494505494505495,1.7307692307692308,3.802197802197802,73.62637362637363,4.714285714285714,10.038461538461538,30.98901098901099,82.41758241758241,68.68131868131869,41.208791208791204,259.2967032967033
45,ATENEO AUTONOMO DE COLOMBIA,1,1,HUILA,0.0,1.3888888888888888,3.888888888888889,22.22222222222222,3.5,8.166666666666666,20.555555555555557,38.88888888888889,61.111111111111114,66.66666666666666,201.55555555555554
46,ATENEO AUTONOMO DE FLORENCIA,1,1,CAQUETA,0.0,1.8333333333333333,3.5555555555555554,55.55555555555556,5.416666666666667,9.416666666666666,25.833333333333332,75.0,61.111111111111114,75.0,221.69444444444446
47,ATENEO INTEGRAL ANA B. DE FLOREZ,1,1,BOGOTÁ,0.0,2.7288135593220337,3.8813559322033897,98.30508474576271,5.186440677966102,11.59322033898305,39.067796610169495,100.0,83.05084745762711,8.47457627118644,280.7457627118644
48,ATENEO JUAN EUDES,1,1,BOGOTÁ,1.2195121951219512,3.1463414634146343,3.097560975609756,96.34146341463415,5.451219512195122,11.597560975609756,46.890243902439025,100.0,92.6829268292683,29.268292682926827,271.6585365853659
49,ATENEO MODERNO,1,1,MAGDALENA,0.0,3.4285714285714284,3.816326530612245,95.91836734693877,4.8979591836734695,13.83673469387755,37.04081632653061,97.95918367346938,87.75510204081633,26.53061224489796,293.734693877551
50,ATENEO TECNICO COMERCIAL,1,1,ATLANTICO,0.0,2.857142857142857,4.142857142857143,85.71428571428571,6.857142857142857,12.857142857142858,20.0,100.0,57.14285714285714,14.285714285714285,325.14285714285717
51,ATLANTIS SYSTEM,1,1,NORTE SANTANDER,0.0,2.05,3.8,55.00000000000001,4.8,9.075,23.75,67.5,50.0,50.0,225.1
52,AVENIDA EL CARANO,0,0,CAQUETA,0.0,1.6363636363636365,3.909090909090909,72.72727272727273,6.2727272727272725,5.454545454545454,33.18181818181818,27.27272727272727,45.45454545454545,63.63636363636363,250.9090909090909
53,BACHILLERATO ACADEMICO PARA ADULTOS ALHERSAN,1,1,CAUCA,0.0,1.5,3.888888888888889,44.44444444444444,3.5,7.333333333333333,25.27777777777778,27.77777777777778,55.55555555555556,72.22222222222221,215.27777777777777
54,BACHILLERATO DE ADULTOS COLSUBSIDIO,1,1,BOGOTÁ,0.0,2.8823529411764706,3.5588235294117645,82.35294117647058,4.367647058823529,10.676470588235293,42.64705882352941,97.05882352941177,76.47058823529412,66.17647058823529,233.9264705882353
55,BACHILLERATO DIVERSIFICADO A DISTANCIA PARA ADULTOS DE LA UNAD,1,1,NORTE SANTANDER,0.0,1.5555555555555556,3.6666666666666665,33.33333333333333,4.666666666666667,10.0,33.888888888888886,44.44444444444444,77.77777777777779,66.66666666666666,233.55555555555554
56,BACHILLERATO DIVERSIFICADO INCA Y BASICA PRIMARIA INCA LTDA,1,1,ATLANTICO,1.9230769230769231,3.1346153846153846,4.0,98.07692307692307,5.076923076923077,13.73076923076923,40.28846153846154,100.0,86.53846153846155,13.461538461538462,282.53846153846155
57,BACHILLERATO FORMAL DE ADULTOS DEL CAUCA - BEFAC,1,1,CAUCA,0.0,1.0,3.0,0.0,3.0,1.5,10.0,0.0,50.0,50.0,203.5
58,BACHILLERATO INTEGRAL DEL QUINDIO,1,1,QUINDIO,0.0,3.375,2.75,87.5,4.03125,11.53125,24.21875,96.875,75.0,28.125,235.59375
59,BACHILLERATO PARA ADULTOS EMPRENDER,1,1,BOGOTÁ,0.0,2.3333333333333335,7.0,66.66666666666666,1.0,16.0,45.0,100.0,66.66666666666666,66.66666666666666,217.66666666666666
60,BACHILLERATO PARA ADULTOS MARIA AUXILIADORA,1,1,CAUCA,66.66666666666666,1.3333333333333333,4.0,66.66666666666666,2.5,10.0,34.166666666666664,50.0,50.0,50.0,184.16666666666666
61,BACHILLERATO SEMIESCOLARIZADO CHIQUINQUIRA,1,1,ATLANTICO,0.0,2.4347826086956523,4.565217391304348,86.95652173913044,4.956521739130435,11.608695652173912,29.782608695652176,82.6086956521739,65.21739130434783,26.08695652173913,220.30434782608697
62,BACHILLERATO SEMIPRESENCIAL CANTACLARO,1,1,CORDOBA,0.0,1.8285714285714285,4.4714285714285715,51.42857142857142,3.8142857142857145,9.57857142857143,20.75,54.285714285714285,42.142857142857146,43.57142857142857,203.27142857142857
63,BACHILLERATO TEC AUTODIRIGIDO,1,1,ATLANTICO,0.0,3.2666666666666666,3.533333333333333,80.0,2.4,10.2,32.333333333333336,100.0,73.33333333333333,33.33333333333333,227.73333333333332
64,BACHILLERATO TECNICO COMERCIAL SANTA ANA,1,1,CUNDINAMARCA,0.0,2.1639344262295084,3.6885245901639343,85.24590163934425,6.049180327868853,10.62295081967213,35.73770491803279,93.44262295081968,83.60655737704919,19.672131147540984,259.11475409836066
65,BARRIOS UNIDOS DEL SUR,0,1,CAQUETA,0.0,1.441860465116279,3.604651162790698,44.18604651162791,5.8604651162790695,5.5813953488372094,27.093023255813954,55.81395348837209,41.86046511627907,58.139534883720934,257.69767441860466
66,BAUDILIO MONTOYA,0,0,QUINDIO,0.0,2.074074074074074,3.2962962962962963,70.37037037037037,6.0,8.444444444444445,36.2962962962963,96.29629629629629,81.48148148148148,33.33333333333333,266.55555555555554
67,BELLO HORIZONTE,0,1,CAQUETA,0.0,1.3414634146341464,4.463414634146342,60.97560975609756,4.2439024390243905,7.2439024390243905,21.585365853658537,78.04878048780488,46.34146341463415,24.390243902439025,239.29268292682926
68,BETH SHALOM GIMNASIO CAMPESTRE,1,1,SANTANDER,0.0,4.4,3.8,100.0,6.3,10.8,65.0,100.0,100.0,10.0,326.3
69,BILINGÜE INTERNACIONAL GIMNASIO CAMPESTRE REINO BRITÁNICO,1,1,CUNDINAMARCA,0.0,3.4761904761904763,3.238095238095238,97.61904761904762,6.0,12.857142857142858,53.92857142857143,100.0,90.47619047619048,14.285714285714285,323.0952380952381
70,BOQUIA,0,0,QUINDIO,0.0,1.8823529411764706,4.0588235294117645,23.52941176470588,5.117647058823529,7.411764705882353,22.058823529411764,70.58823529411765,70.58823529411765,52.94117647058824,257.70588235294116
71,BOSQUES DE PINARES,0,1,QUINDIO,0.0,1.8148148148148149,3.925925925925926,55.55555555555556,4.944444444444445,9.166666666666666,23.796296296296298,70.37037037037037,61.111111111111114,14.814814814814813,241.5185185185185
72,BTO ACAD CICLICO DEL CAUCA,1,1,CAUCA,0.0,2.4545454545454546,3.8181818181818183,59.09090909090909,4.363636363636363,10.5,32.72727272727273,81.81818181818183,72.72727272727273,63.63636363636363,232.3181818181818
73,BTO DE ADULTOS UNAD,1,1,BOGOTÁ,0.0,2.779874213836478,3.6037735849056602,71.69811320754717,5.037735849056604,10.264150943396226,39.18238993710692,92.45283018867924,82.38993710691824,52.83018867924528,251.1006289308176
74,BTO FORMAL DE ADULTOS DEL CAUCA,1,1,CAUCA,0.0,2.0,4.363636363636363,43.18181818181818,3.5454545454545454,7.159090909090909,20.113636363636363,65.9090909090909,45.45454545454545,79.54545454545455,200.75
75,BTO MIX MANEL SATURIO VALENCIA,1,1,CHOCO,0.0,2.0,5.0,60.0,5.4,6.6,16.0,40.0,20.0,20.0,187.4
76,BTO MODERNO DE ADULTOS EXTERNADO DEL SUR,1,1,NARIÑO,0.0,1.65,3.1,70.0,4.5,9.3,38.5,70.0,30.0,65.0,217.2
77,C E R CARIBIA,0,0,ANTIOQUIA,0.0,1.5217391304347827,5.086956521739131,30.434782608695656,4.826086956521739,4.043478260869565,19.565217391304348,26.08695652173913,39.130434782608695,69.56521739130434,208.30434782608697
78,C. E. DE ADULTOS CARL FRIEDICH GAUSS,1,1,ATLANTICO,0.0,2.0816326530612246,4.26530612244898,60.204081632653065,3.857142857142857,7.591836734693878,25.255102040816325,44.89795918367347,52.04081632653062,50.0,195.0612244897959
79,C. E. FORMAL DISCENTER S,1,1,VALLE,0.0,2.1607142857142856,3.142857142857143,91.07142857142857,4.446428571428571,10.767857142857142,31.071428571428573,87.5,69.64285714285714,35.714285714285715,234.375
80,C. E. R. BADILLO,0,0,ANTIOQUIA,0.0,2.45,4.3,20.0,4.5,5.4,18.25,5.0,30.0,75.0,177.9
81,C. E. R. EL PESCADO,0,0,ANTIOQUIA,0.0,1.8333333333333333,4.666666666666667,50.0,4.0,6.0,20.0,0.0,50.0,66.66666666666666,232.16666666666666
82,C. E. R. LA COMIA,0,0,ANTIOQUIA,0.0,1.6627906976744187,4.0,18.6046511627907,4.22093023255814,6.6976744186046515,22.61627906976744,17.441860465116278,54.65116279069767,55.81395348837209,196.58139534883722
83,C. E. R. PAJARITO ARRIBA,0,0,ANTIOQUIA,0.0,1.5673076923076923,4.403846153846154,17.307692307692307,3.6923076923076925,5.163461538461538,23.028846153846153,18.269230769230766,46.15384615384615,74.03846153846155,206.02884615384616
84,C. E. R. SAN JUAN DE AQUITANIA,0,0,ANTIOQUIA,0.0,1.3333333333333333,4.333333333333333,0.0,4.0,8.0,20.0,0.0,33.33333333333333,33.33333333333333,195.0
85,C.C.E.B. # 187 CIVICO 7 DE ABRIL,0,1,ATLANTICO,0.0,1.967741935483871,5.32258064516129,74.19354838709677,6.290322580645161,8.129032258064516,29.032258064516128,61.29032258064516,51.61290322580645,38.70967741935484,233.80645161290323
86,C.E.  NEOSISTEMAS,1,1,ANTIOQUIA,0.0,2.142857142857143,3.142857142857143,100.0,5.357142857142857,11.785714285714286,60.357142857142854,92.85714285714286,85.71428571428571,14.285714285714285,348.14285714285717
87,C.E. ALTO SICARARE,0,0,CESAR,0.0,2.25,5.0,25.0,3.0,4.5,13.75,50.0,75.0,0.0,203.25
88,C.E. BELLA VISTA,0,0,CESAR,0.0,1.6666666666666667,4.333333333333333,0.0,4.5,2.5,27.5,16.666666666666664,0.0,83.33333333333334,178.83333333333334
89,C.E. BOCAS DEL ATRATO,0,0,ANTIOQUIA,100.0,1.8333333333333333,6.0,66.66666666666666,8.0,3.5,22.5,50.0,16.666666666666664,66.66666666666666,177.16666666666666
90,C.E. CAYETANO MORA,0,0,CESAR,0.0,1.6,5.8,20.0,2.4,4.2,37.0,0.0,80.0,60.0,188.0
91,C.E. CERRO BLANCO,0,0,MAGDALENA,0.0,1.5,5.6,60.0,4.5,8.4,16.0,10.0,20.0,0.0,194.3
92,C.E. COSTA CARIBE,1,1,SUCRE,44.680851063829785,1.5106382978723405,4.23404255319149,40.42553191489361,5.361702127659575,7.595744680851064,25.0,23.404255319148938,44.680851063829785,53.191489361702125,196.36170212765958
93,C.E. CUATRO BOCAS,0,0,CESAR,0.0,2.25,5.0,0.0,4.5,9.75,13.75,100.0,75.0,25.0,226.75
94,C.E. DE CÓMPUTO EMPRESARIAL PARA EL TRABAJO - CINDECÓPUTO,1,1,ANTIOQUIA,0.0,2.05,3.8,46.666666666666664,3.4,10.3,20.333333333333332,70.0,60.0,61.66666666666667,205.06666666666666
95,C.E. DIOS ES AMOR,1,1,CUNDINAMARCA,0.0,1.5151515151515151,3.5454545454545454,54.54545454545454,4.545454545454546,7.636363636363637,32.42424242424242,69.6969696969697,72.72727272727273,39.39393939393939,238.3030303030303
96,C.E. EL BOSQUE,1,1,SANTANDER,0.0,1.0,3.0,0.0,3.0,0.0,25.0,0.0,0.0,100.0,161.0
97,C.E. EL CAIRO,0,0,CESAR,0.0,1.8571428571428572,5.0,14.285714285714285,3.0,11.142857142857142,10.0,28.57142857142857,71.42857142857143,85.71428571428571,203.0
98,C.E. EL CONGO,0,0,CAUCA,100.0,2.1666666666666665,4.0,0.0,5.5,2.5,25.0,33.33333333333333,50.0,50.0,184.5
99,C.E. ESTADOS UNIDOS,0,0,CESAR,0.0,3.0,5.0,66.66666666666666,2.0,2.0,10.0,33.33333333333333,66.66666666666666,0.0,227.66666666666666
100,C.E. EZEQUIEL MONTERO,0,0,CESAR,0.0,1.3333333333333333,5.0,16.666666666666664,6.5,6.0,39.166666666666664,33.33333333333333,33.33333333333333,33.33333333333333,212.66666666666666
101,C.E. FORMAL PARA ADULTOS LOS SAUCES,1,1,BOGOTÁ,0.0,2.125,4.0,50.0,2.25,8.25,30.625,87.5,62.5,87.5,243.375
102,C.E. JÓVENES CON FUTURO,1,1,CUNDINAMARCA,0.0,2.3333333333333335,3.2222222222222223,66.66666666666666,4.333333333333333,11.666666666666666,28.333333333333332,77.77777777777779,55.55555555555556,66.66666666666666,217.55555555555554
103,C.E. LA ARBOLEDA,1,0,VALLE,0.0,2.6,3.1333333333333333,93.33333333333333,5.6,11.2,37.0,93.33333333333333,80.0,20.0,277.6
104,C.E. LA GALLETA,0,0,ANTIOQUIA,0.0,1.6,5.0,40.0,3.0,9.0,10.0,20.0,20.0,40.0,202.2
105,C.E. LA PITA,0,0,ANTIOQUIA,0.0,1.5,7.0,0.0,1.5,6.0,10.0,0.0,0.0,100.0,200.5
106,C.E. LICEO DEL CARIBE,1,1,SAN ANDRES,92.3076923076923,3.5384615384615383,3.3076923076923075,100.0,5.538461538461538,13.846153846153847,53.46153846153846,100.0,84.61538461538461,46.15384615384615,302.3076923076923
107,C.E. LUIS CARLOS GALAN,1,1,SUCRE,2.1739130434782608,2.1739130434782608,4.304347826086956,73.91304347826086,4.369565217391305,9.195652173913043,24.02173913043478,71.73913043478261,52.17391304347826,43.47826086956522,208.69565217391303
108,C.E. MARIA AUXILIADORA VILLA MONACO,1,1,ATLANTICO,0.0,1.95,4.1,70.0,7.5,11.55,24.0,90.0,70.0,15.0,242.3
109,C.E. MENFIS,1,1,CALDAS,10.0,3.1,3.2,90.0,4.5,11.7,25.5,80.0,70.0,20.0,270.2
110,C.E. MIXTO DE GALAPA,1,1,ATLANTICO,0.0,2.210526315789474,3.8421052631578947,89.47368421052632,6.157894736842105,11.68421052631579,33.421052631578945,89.47368421052632,68.42105263157895,0.0,273.5263157894737
111,C.E. NACIONAL DE ADULTO - CENAD,1,0,CUNDINAMARCA,0.0,1.5714285714285714,5.0,57.14285714285714,2.142857142857143,7.714285714285714,20.0,71.42857142857143,57.14285714285714,71.42857142857143,220.14285714285714
112,C.E. PUYA DEL MEDIO (UNIT),0,0,ANTIOQUIA,0.0,1.3333333333333333,6.111111111111111,0.0,3.0,1.3333333333333333,18.333333333333332,11.11111111111111,0.0,55.55555555555556,180.44444444444446
113,C.E. QUERIDOS AMIGOS,1,1,BOLIVAR,0.0,2.0,4.0625,93.75,5.0625,9.28125,28.59375,75.0,65.625,3.125,229.71875
114,C.E. SAN ISIDRO,0,0,CESAR,0.0,1.25,6.5,50.0,3.0,8.25,21.25,50.0,75.0,75.0,198.75
115,C.E. SAN JACINTO,0,0,CESAR,0.0,2.3333333333333335,6.333333333333333,0.0,5.0,4.0,15.0,33.33333333333333,66.66666666666666,66.66666666666666,176.33333333333334
116,C.E. SAN PEDRO,0,0,CESAR,0.0,1.0,8.0,50.0,6.0,4.5,37.5,50.0,0.0,50.0,171.5
117,C.E. SANTA ISABEL,0,0,CESAR,0.0,1.0,4.0,75.0,4.125,3.375,16.875,25.0,25.0,50.0,191.875
118,C.E. SANTIAGO DE URABA (UNIT),0,0,ANTIOQUIA,0.0,2.2666666666666666,4.333333333333333,6.666666666666667,5.6,2.8,29.0,6.666666666666667,33.33333333333333,66.66666666666666,199.53333333333333
119,C.E. TUTACHE,0,0,CESAR,66.66666666666666,3.0,5.666666666666667,0.0,2.0,6.0,23.333333333333332,66.66666666666666,0.0,100.0,166.0
120,C.E.LAS TINAS,0,0,CORDOBA,0.0,1.3333333333333333,4.0,50.0,8.0,4.0,15.0,0.0,0.0,33.33333333333333,263.5
121,C.E.R. LA ANGELITA,0,0,NORTE SANTANDER,0.0,1.375,4.5,25.0,4.875,4.5,15.0,0.0,50.0,12.5,226.875
122,C.E.R. LA BARRIALOSA,0,0,PUTUMAYO,0.0,2.0,3.0,33.33333333333333,8.0,11.0,15.0,33.33333333333333,33.33333333333333,33.33333333333333,229.66666666666666
123,C.E.R. LA CARRERA,0,0,NORTE SANTANDER,0.0,1.75,3.5,50.0,5.25,3.75,13.75,25.0,50.0,25.0,251.5
124,C.EDUC. SANTA ROSA,0,0,CORDOBA,0.0,1.7,5.2,20.0,5.7,5.1,16.0,20.0,10.0,40.0,196.9
125,C.EDUC.EVANGELICO LA ESPERANZA,1,1,CORDOBA,16.666666666666664,2.0555555555555554,5.0,100.0,6.5,9.666666666666666,32.22222222222222,66.66666666666666,38.88888888888889,33.33333333333333,298.44444444444446
126,C0LEGIO CRISTIANO LA ESPERANZA,1,1,MAGDALENA,0.0,3.3448275862068964,4.0344827586206895,100.0,5.793103448275862,14.172413793103448,48.44827586206897,96.55172413793103,86.20689655172413,13.793103448275861,316.48275862068965
127,CAJETE,0,0,CAUCA,4.0,1.48,3.88,52.0,5.76,5.88,23.0,32.0,36.0,60.0,256.88
128,CALIBIO,0,0,CAUCA,0.0,1.5348837209302326,4.348837209302325,32.55813953488372,4.325581395348837,5.8604651162790695,22.209302325581394,34.883720930232556,41.86046511627907,65.11627906976744,222.7906976744186
129,CAMARA JUNIOR,0,1,QUINDIO,0.0,2.2439024390243905,3.682926829268293,76.82926829268293,5.2682926829268295,11.341463414634147,29.146341463414632,86.58536585365853,75.60975609756098,14.634146341463413,264.1585365853659
130,CAMBRIDGE SCHOOL (GIMN BILING PLAZA SESAMO),1,1,NORTE SANTANDER,0.0,2.4285714285714284,3.9523809523809526,100.0,7.0,6.714285714285714,38.57142857142857,85.71428571428571,66.66666666666666,9.523809523809524,370.6190476190476
131,CAMILO TORRES,0,1,QUINDIO,4.166666666666666,1.4791666666666667,4.083333333333333,50.0,4.4375,9.875,15.208333333333334,72.91666666666666,56.25,41.66666666666667,229.72916666666666
132,CAMPESTRE EDELMIRA NIETO,1,1,QUINDIO,0.0,3.8484848484848486,3.484848484848485,96.96969696969697,5.0,13.090909090909092,49.39393939393939,100.0,84.84848484848484,18.181818181818183,309.93939393939394
133,CARLOS M SIMMONDS,0,1,CAUCA,0.0,1.7674418604651163,3.8372093023255816,46.51162790697674,4.325581395348837,8.162790697674419,22.906976744186046,67.44186046511628,46.51162790697674,32.55813953488372,264.4651162790698
134,CARMEN EMILSE DE LA HOZ,1,1,MAGDALENA,0.0,1.8888888888888888,4.111111111111111,33.33333333333333,4.666666666666667,6.666666666666667,19.444444444444443,55.55555555555556,66.66666666666666,55.55555555555556,184.44444444444446
