,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,Educacion_padres,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
817,COL GIMNASIO MODERNO DEL VALLE,1,1,VALLE,0.0,2.9583333333333335,3.9166666666666665,87.5,5.0625,10.625,40.625,95.83333333333334,79.16666666666666,25.0,281.9583333333333
818,COL GIOVANNI ANTONIO FARINA,1,1,BOGOTÁ,0.0,2.3066666666666666,3.32,93.33333333333333,5.88,10.96,41.46666666666667,100.0,81.33333333333333,14.666666666666666,295.6666666666667
819,COL GIOVANNI PASCOLI (ANTIGUO COL NSTRA SRA DE LOS DOLORES),1,1,BOGOTÁ,0.0,2.8157894736842106,3.8421052631578947,84.21052631578947,3.6315789473684212,12.868421052631579,33.28947368421053,100.0,89.47368421052632,18.421052631578945,254.1315789473684
820,COL GONZALO JIMENEZ NAVAS,0,1,SANTANDER,0.0,1.6928571428571428,4.6,54.285714285714285,4.864285714285714,10.65,22.25,80.71428571428572,64.28571428571429,40.714285714285715,247.54285714285714
821,COL GONZALO RIVERA LAGUADO,0,1,NORTE SANTANDER,0.0,1.7346938775510203,4.755102040816326,51.02040816326531,3.306122448979592,9.551020408163266,23.46938775510204,73.46938775510205,51.02040816326531,16.3265306122449,245.16326530612244
822,COL GREMIOS UNIDOS,0,1,NORTE SANTANDER,0.0,1.8043478260869565,4.115942028985507,60.14492753623188,4.5,10.130434782608695,25.76086956521739,72.46376811594203,63.76811594202898,24.637681159420293,257.9492753623188
823,COL GUILLERMO COTE BAUTISTA,0,1,NORTE SANTANDER,0.0,1.9166666666666667,3.8333333333333335,63.888888888888886,3.5,8.125,27.98611111111111,48.61111111111111,55.55555555555556,34.72222222222222,248.11111111111111
824,COL GUILLERMO QUINTERO CALDERON,0,1,NORTE SANTANDER,0.0,1.7142857142857142,4.371428571428571,42.857142857142854,4.0285714285714285,7.285714285714286,16.571428571428573,37.142857142857146,40.0,37.142857142857146,220.9142857142857
825,COL GUILLERMO TABORDA RESTREPO,1,1,ANTIOQUIA,0.0,3.6,2.6,90.0,4.5,12.6,35.5,100.0,80.0,40.0,273.6
826,COL GUSTAVO ROJAS PINILLA,1,1,BOGOTÁ,0.0,2.8333333333333335,3.75,79.16666666666666,3.875,12.625,37.291666666666664,100.0,95.83333333333334,45.83333333333333,242.29166666666666
827,COL HEISENBERG SEDE KENNEDY,1,1,BOGOTÁ,0.0,2.8974358974358974,3.717948717948718,74.35897435897436,2.923076923076923,11.23076923076923,40.0,94.87179487179486,69.23076923076923,56.41025641025641,236.71794871794873
828,COL HENRY WALLON,1,1,BOGOTÁ,0.0,3.1666666666666665,3.5,83.33333333333334,6.0,11.5,39.583333333333336,100.0,83.33333333333334,33.33333333333333,276.5
829,COL HERMANOS BELTRAN,1,1,BOGOTÁ,0.0,2.3333333333333335,3.9523809523809526,85.71428571428571,4.0,10.285714285714286,36.42857142857143,100.0,52.38095238095239,14.285714285714285,253.47619047619048
830,COL HERNANDO CAICEDO,1,0,VALLE,0.0,1.8181818181818181,3.272727272727273,100.0,5.863636363636363,11.181818181818182,29.545454545454547,100.0,72.72727272727273,13.636363636363635,262.22727272727275
831,COL HISPANO,1,1,ANTIOQUIA,0.0,3.9,3.0,100.0,5.4,13.8,35.5,100.0,90.0,40.0,243.9
832,COL HISPANOAMERICANO,1,1,NORTE SANTANDER,0.0,1.8571428571428572,3.0,85.71428571428571,3.857142857142857,10.285714285714286,27.857142857142858,57.14285714285714,100.0,28.57142857142857,269.57142857142856
833,COL HISPANOAMERICANO CONDE ANSUREZ,1,1,BOGOTÁ,0.0,4.086956521739131,3.1739130434782608,100.0,4.891304347826087,12.782608695652174,74.23913043478261,100.0,97.82608695652173,2.1739130434782608,343.6304347826087
834,COL HNAS MISIONERAS DE LA CONSOLATA,1,1,BOGOTÁ,0.0,2.875,3.4166666666666665,87.5,6.875,10.875,50.625,100.0,79.16666666666666,8.333333333333332,302.25
835,COL HOGAR DE NAZARETH,1,1,BOGOTÁ,0.0,2.5964912280701755,3.3508771929824563,91.22807017543859,5.947368421052632,10.473684210526315,37.719298245614034,98.24561403508771,94.73684210526315,12.280701754385964,288.9122807017544
836,COL HOMBRES DEL FUTURO,1,1,NORTE SANTANDER,0.0,2.2916666666666665,4.166666666666667,50.0,3.5,10.625,21.041666666666668,66.66666666666666,58.333333333333336,45.83333333333333,224.125
837,COL HUMANISTICO SAVATER,1,1,HUILA,0.0,1.744186046511628,3.7209302325581395,47.674418604651166,3.7674418604651163,6.453488372093023,22.674418604651162,54.65116279069767,51.162790697674424,55.81395348837209,197.1860465116279
838,COL INCADE,1,1,BOGOTÁ,1.8867924528301887,2.490566037735849,3.830188679245283,79.24528301886792,3.3962264150943398,10.528301886792454,29.150943396226417,77.35849056603774,75.47169811320755,54.71698113207547,228.9056603773585
839,COL INCE,1,1,CUNDINAMARCA,0.0,1.7916666666666667,3.8333333333333335,33.33333333333333,4.0,8.375,30.0,62.5,66.66666666666666,83.33333333333334,213.58333333333334
840,COL INGLATERRA REAL,1,1,BOGOTÁ,0.0,3.875,3.75,100.0,5.25,12.0,60.625,100.0,100.0,25.0,312.625
841,COL INGLES,1,1,TOLIMA,0.0,3.875,3.0,100.0,8.625,10.875,48.125,100.0,87.5,0.0,365.75
842,COL INMACULADO CORAZON DE MARIA,1,1,BOGOTÁ,2.0,2.46,3.8,88.0,5.58,12.24,55.7,98.0,84.0,22.0,293.16
843,COL INST BOLIVARIANO ESDISE¥OS,1,1,NORTE SANTANDER,0.0,2.2222222222222223,3.9300411522633745,74.07407407407408,4.345679012345679,10.604938271604938,24.11522633744856,77.77777777777779,58.8477366255144,53.49794238683128,230.1358024691358
844,COL INST DE EXCELENCIA HUMANA Y ACAD - IDEHA,1,1,HUILA,0.0,3.5,3.75,100.0,4.875,12.375,63.75,100.0,100.0,25.0,313.625
845,COL INSUCA,1,1,NARIÑO,0.0,2.5813953488372094,3.6511627906976742,95.34883720930233,6.488372093023256,11.30232558139535,46.395348837209305,95.34883720930233,79.06976744186046,32.55813953488372,282.3255813953488
846,COL INTEG FRANCISCO JOSE DE CALDAS,0,1,NORTE SANTANDER,0.0,1.7226277372262773,4.211678832116788,41.605839416058394,4.927007299270073,8.474452554744525,23.54014598540146,45.25547445255474,52.55474452554745,38.68613138686132,242.33576642335765
