,COLE_NOMBRE_ESTABLECIMIENTO,COLE_NATURALEZA,COLE_AREA_UBICACION,COLE_DEPTO_UBICACION,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,FAMI_NUMLIBROS,conectividad,alimentacion,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL
9051,INSTITUTCION EDUCATIVA CIUDAD MODELO,0,1,VALLE,0.0,2.5247524752475248,3.9702970297029703,0.5247524752475248,0.6039603960396039,4.099009900990099,11.792079207920793,25.198019801980198,0.900990099009901,0.6435643564356436,0.25742574257425743,245.98019801980197
9052,INSTITUTO  AGRICOLA NUESTRA SE¿ORA DEL SOCORRO,0,0,SANTANDER,0.0,1.3888888888888888,4.0,0.3333333333333333,0.3888888888888889,4.666666666666667,8.5,28.88888888888889,0.7222222222222222,0.5555555555555556,0.3888888888888889,253.44444444444446
9053,INSTITUTO  AGROPECUARIO SANTA ROSA,0,0,SANTANDER,0.0,1.4545454545454546,4.636363636363637,0.0,0.09090909090909091,3.8181818181818183,4.090909090909091,23.636363636363637,0.36363636363636365,0.45454545454545453,0.5454545454545454,223.0909090909091
9054,INSTITUTO  COLOMBIA,1,1,VALLE,0.0,2.260869565217391,3.5217391304347827,0.5217391304347826,0.34782608695652173,5.217391304347826,9.782608695652174,35.0,0.9565217391304348,0.8260869565217391,0.6521739130434783,233.56521739130434
9055,INSTITUTO  O HIGGINS,1,1,ATLANTICO,0.0,2.4375,3.875,0.9375,0.9375,3.75,10.3125,32.5,1.0,0.5,0.125,254.125
9056,INSTITUTO  SKINNER II   (ANT.-JARD. INF. SKINNER II),1,0,BOLIVAR,1.0,1.9310344827586208,4.724137931034483,0.6206896551724138,0.6551724137931034,4.448275862068965,9.517241379310345,31.20689655172414,0.1724137931034483,0.6896551724137931,0.13793103448275862,218.20689655172413
9057,INSTITUTO  TECNICO CALIMA,1,1,VALLE,0.0,3.090909090909091,3.909090909090909,0.7272727272727273,0.7272727272727273,3.272727272727273,13.909090909090908,29.545454545454547,1.0,0.8181818181818182,0.18181818181818182,249.45454545454547
9058,INSTITUTO ACADEMICO DEL PACIFICO,1,1,VALLE,0.0,2.0,3.0,0.0,0.0,0.0,6.0,10.0,1.0,1.0,1.0,177.0
9059,INSTITUTO ACADÉMICO VICTORIA (INAVI),1,0,CAQUETA,0.0,1.7142857142857142,3.857142857142857,0.3333333333333333,0.42857142857142855,4.761904761904762,7.238095238095238,25.07936507936508,0.5555555555555556,0.38095238095238093,0.7301587301587301,209.63492063492063
9060,INSTITUTO ADVENTISTA DEL CARARE,1,1,SANTANDER,0.0,1.7142857142857142,3.380952380952381,0.6666666666666666,0.7619047619047619,6.428571428571429,10.857142857142858,36.42857142857143,0.8095238095238095,0.8571428571428571,0.42857142857142855,285.23809523809524
